name,customer_name,alias,customer_type,customer_group,territory,payment_terms,default_currency,credit_limit,tax_id,primary_address,customer_primary_contact,disabled
KH-00094,CÔNG TY TNHH TMDV VÀ SX T.A.L,TMDV VÀ SX T.A.L,Company,Khách Hàng Thương Mại & Phân Phối,Hải Phòng,Cọc trước 50% - Giao hàng 50%,VND,0.0,,"Số 43 Phố Cao Sơn, Khu Xuân Áng, T.T Trường Sơn, H.An Lao, TP.Hải Phòng",Lài,0
KH-00095,CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI HUY NGA,HUY NGA,Company,Khách Hàng Thương Mại & Phân Phối,Việt Nam,Cọc trước 50% - Giao hàng 50%,VND,0.0,,,Lài,0
KH-00096,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ SẢN XUẤT AZENKA,SẢN XUẤT AZENKA,Company,Khách Hàng Thương Mại & Phân Phối,TP. Hồ Chí Minh,Cọc trước 50% - Giao hàng 50%,VND,0.0,,"76/11 Ấp 1 ,Xã Bà Điểm ,TP Hồ Chí Minh",Nhàn,0
KH-00097,CÔNG TY TNHH TM DV ANH PHÚC,DV ANH PHÚC,Company,Khách Hàng Thương Mại & Phân Phối,Bắc Ninh,Cọc trước 50% - Giao hàng 50%,VND,0.0,,BẮC NINH,Nhàn,0
KH-00098,HỘ KINH DOANH TẠP HÓA - TRƯỜNG GIANG,TẠP HÓA -,Individual,Khách Hàng Thương Mại & Phân Phối,Việt Nam,Cọc trước 50% - Giao hàng 50%,VND,0.0,,,Phúc,0
KH-00099,CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI NHẬT KHẢI,NHẬT KHẢI,Company,Khách Hàng Thương Mại & Phân Phối,TP. Hồ Chí Minh,Cọc trước 50% - Giao hàng 50%,VND,0.0,,"Số 26 Đường Mai Văn Vĩnh , Phường Tân Hưng , Thành phố Hồ Chí Minh",Nhàn,0
KH-00100,CÔNG TY TRÁCH NHIỆM HỮU HẠN THƯƠNG MẠI VÀ SẢN XUẤT HP GROUP,HP GROUP,Company,Khách Hàng Thương Mại & Phân Phối,An Giang,Cọc trước 50% - Giao hàng 50%,VND,0.0,,"ấp Long Hòa 1 , Xã Long Kiến , Tỉnh An Giang",Nhàn,0
KH-00101,Công ty TNHH SẢN XUẤT VÀ THƯƠNG MẠI TACY,TACY,Company,Khách Hàng Thương Mại & Phân Phối,Tuyên Quang,Cọc trước 50% - Giao hàng 50%,VND,0.0,,"Cầu Xì, Sơn Thủy, Tuyên Quang,Việt Nam",Lài,0
KH-00102,Công ty TNHH TIỆP ANH HƯƠNG,TIỆP ANH HƯƠNG,Company,Khách Hàng Thương Mại & Phân Phối,Ninh Bình,Cọc trước 50% - Giao hàng 50%,VND,0.0,,"Vũ Dương, Ninh Bình",Lài,0
KH-00103,HỘ KINH DOANH CƠ SỞ SẢN XUẤT HOA NI,HOA NI,Individual,Khách Hàng Thương Mại & Phân Phối,Việt Nam,Cọc trước 50% - Giao hàng 50%,VND,0.0,,,Lài,0
KH-00104,CÔNG TY TNHH THƯƠNG MẠI DƯỢC HÓA MỸ PHẨM GREEN PRO,DƯỢC HÓA MỸ,Company,Khách Hàng Thương Mại & Phân Phối,Việt Nam,Cọc trước 50% - Giao hàng 50%,VND,0.0,,"Xóm Ngũ Lộc , Hưng Lộc , TP Vinh , Tỉnh Nghệ An",Nhàn,0
KH-00105,Hộ Kinh Thảo Phương,HỘ KINH THẢO PHƯƠNG,Individual,Khách Hàng Thương Mại & Phân Phối,An Giang,Cọc trước 50% - Giao hàng 50%,VND,0.0,,"1/3 Khóm Thới An A, Phường Mỹ Thạnh ,Thành phố Long Xuyên ,Tỉnh An Giang",Nhàn,0
KH-00106,CÔNG TY TNHH NHÀ HÀNG HÀN QUỐC MS BARUN,MS BARUN,Company,Khách Hàng Thương Mại & Phân Phối,Việt Nam,Cọc trước 50% - Giao hàng 50%,VND,0.0,,"Số 39 Đường Nội Khu Phú Mỹ Hưng - Midtown Lô M6, Phường Tân Mỹ, TP",Lam,0
KH-00107,CÔNG TY TNHH PHONG TÍN,PHONG TÍN,Company,Khách Hàng Bao Bì Màng Ghép,Việt Nam,Cọc trước 50% - Giao hàng 50%,VND,0.0,,,,0
KH-00108,Khách hàng Bluum,BLUUM,Individual,Khách Hàng Bao Bì Màng Ghép,Việt Nam,Cọc trước 50% - Giao hàng 50%,VND,0.0,,,,0
KH-00109,Khách hàng Chakari,CHAKARI,Individual,Khách Hàng Bao Bì Màng Ghép,Việt Nam,Cọc trước 50% - Giao hàng 50%,VND,0.0,,,,0
KH-00110,Khách hàng Clean,CLEAN,Individual,Khách Hàng Bao Bì Màng Ghép,Việt Nam,Cọc trước 50% - Giao hàng 50%,VND,0.0,,,,0
KH-00111,Khách hàng DPClean,DPCLEAN,Individual,Khách Hàng Bao Bì Màng Ghép,Việt Nam,Cọc trước 50% - Giao hàng 50%,VND,0.0,,,,0
KH-00112,Khách hàng Premium,PREMIUM,Individual,Khách Hàng Bao Bì Màng Ghép,Việt Nam,Cọc trước 50% - Giao hàng 50%,VND,0.0,,,,0
KH-00113,Khách hàng Raptor Clean,RAPTOR CLEAN,Individual,Khách Hàng Bao Bì Màng Ghép,Việt Nam,Cọc trước 50% - Giao hàng 50%,VND,0.0,,,,0
KH-00114,Khách hàng Sachpoong,SACHPOONG,Individual,Khách Hàng Bao Bì Màng Ghép,Việt Nam,Cọc trước 50% - Giao hàng 50%,VND,0.0,,,,0
KH-00115,Khách hàng Trần Quân,TRẦN QUÂN,Individual,Khách Hàng Bao Bì Màng Ghép,Việt Nam,Cọc trước 50% - Giao hàng 50%,VND,0.0,,,,0
KH-00116,Khách hàng Yumi Care,YUMI CARE,Individual,Khách Hàng Bao Bì Màng Ghép,Việt Nam,Cọc trước 50% - Giao hàng 50%,VND,0.0,,,,0
KH-00117,TOP GIA,TOP GIA,Individual,Khách Hàng Thương Mại & Phân Phối,Việt Nam,Cọc trước 50% - Giao hàng 50%,VND,0.0,,,,0
