bom_no,item_code,item_name,custom_alias,qty,uom,scrap_pct,note
BOM-TP-00013-001,NVL-00044,Thùng carton 5 lớp đóng gói giao hàng túi,Thùng carton,2.5,Cái,0.0,Đóng gói tiêu chuẩn 400 túi lớn xẹp/thùng 60x40x40
BOM-TP-00014-001,BTP-00007,Cuộn màng ghép PET/PA/PE 3 lớp TopGia 2L khổ 750mm,Cuộn TopGia 2L,246.0,m,2.5,Cuộn màng ghép BTP chạy 2 lane (Bước cắt 480.0mm x 1.000 túi + 2.5% hao hụt)
BOM-TP-00014-001,NVL-00040,Vòi nhựa đóng gói phi 16mm kèm nắp chống tràn,Vòi 16mm,1010.0,Cái,1.0,1 vòi 16mm/túi + 1% hao hụt máy hàn nhiệt
BOM-TP-00014-001,NVL-00044,Thùng carton 5 lớp đóng gói giao hàng túi,Thùng carton,2.0,Cái,0.0,Đóng gói tiêu chuẩn 500 túi xẹp/thùng 60x40x40
BOM-TP-00015-001,BTP-00007,Cuộn màng ghép PET/PA/PE 3 lớp TopGia 2L khổ 750mm,Cuộn TopGia 2L,246.0,m,2.5,Cuộn màng ghép BTP chạy 2 lane (Bước cắt 480.0mm x 1.000 túi + 2.5% hao hụt)
BOM-TP-00015-001,NVL-00040,Vòi nhựa đóng gói phi 16mm kèm nắp chống tràn,Vòi 16mm,1010.0,Cái,1.0,1 vòi 16mm/túi + 1% hao hụt máy hàn nhiệt
BOM-TP-00015-001,NVL-00044,Thùng carton 5 lớp đóng gói giao hàng túi,Thùng carton,2.0,Cái,0.0,Đóng gói tiêu chuẩn 500 túi xẹp/thùng 60x40x40
BOM-TP-00016-001,BTP-00014,Cuộn màng ghép 4 lớp BABA 3.6Kg khổ 800mm,Cuộn BABA 3.6Kg,297.2,m,2.5,Cuộn màng ghép BTP chạy 2 lane (Bước cắt 580.0mm x 1.000 túi + 2.5% hao hụt)
BOM-TP-00016-001,NVL-00040,Vòi nhựa đóng gói phi 16mm kèm nắp chống tràn,Vòi 16mm,1010.0,Cái,1.0,1 vòi 16mm/túi + 1% hao hụt máy hàn nhiệt
BOM-TP-00016-001,NVL-00044,Thùng carton 5 lớp đóng gói giao hàng túi,Thùng carton,2.5,Cái,0.0,Đóng gói tiêu chuẩn 400 túi lớn xẹp/thùng 60x40x40
BOM-TP-00017-001,BTP-00008,Cuộn màng ghép PET/PA/PE 3 lớp Softy 3L khổ 800mm,Cuộn Softy 3L,307.5,m,2.5,Cuộn màng ghép BTP chạy 2 lane (Bước cắt 600.0mm x 1.000 túi + 2.5% hao hụt)
BOM-TP-00017-001,NVL-00040,Vòi nhựa đóng gói phi 16mm kèm nắp chống tràn,Vòi 16mm,1010.0,Cái,1.0,1 vòi 16mm/túi + 1% hao hụt máy hàn nhiệt
BOM-TP-00017-001,NVL-00044,Thùng carton 5 lớp đóng gói giao hàng túi,Thùng carton,2.5,Cái,0.0,Đóng gói tiêu chuẩn 400 túi lớn xẹp/thùng 60x40x40
BOM-TP-00019-001,BTP-00007,Cuộn màng ghép PET/PA/PE 3 lớp TopGia 2L khổ 750mm,Cuộn TopGia 2L,246.0,m,2.5,Cuộn màng ghép BTP chạy 2 lane (Bước cắt 480.0mm x 1.000 túi + 2.5% hao hụt)
BOM-TP-00019-001,NVL-00044,Thùng carton 5 lớp đóng gói giao hàng túi,Thùng carton,2.0,Cái,0.0,Đóng gói tiêu chuẩn 500 túi xẹp/thùng 60x40x40
BOM-TP-00020-001,BTP-00016,Cuộn màng ghép TopGia 1L Đắm Say khổ 750mm,Cuộn TopGia 1L Đắm Say,215.2,m,2.5,Cuộn màng ghép BTP chạy 2 lane (Bước cắt 420.0mm x 1.000 túi + 2.5% hao hụt)
BOM-TP-00020-001,NVL-00040,Vòi nhựa đóng gói phi 16mm kèm nắp chống tràn,Vòi 16mm,1010.0,Cái,1.0,1 vòi 16mm/túi + 1% hao hụt máy hàn nhiệt
BOM-TP-00020-001,NVL-00044,Thùng carton 5 lớp đóng gói giao hàng túi,Thùng carton,2.0,Cái,0.0,Đóng gói tiêu chuẩn 500 túi xẹp/thùng 60x40x40
BOM-TP-00021-001,BTP-00016,Cuộn màng ghép TopGia 1L Đắm Say khổ 750mm,Cuộn TopGia 1L Đắm Say,215.2,m,2.5,Cuộn màng ghép BTP chạy 2 lane (Bước cắt 420.0mm x 1.000 túi + 2.5% hao hụt)
BOM-TP-00021-001,NVL-00040,Vòi nhựa đóng gói phi 16mm kèm nắp chống tràn,Vòi 16mm,1010.0,Cái,1.0,1 vòi 16mm/túi + 1% hao hụt máy hàn nhiệt
BOM-TP-00021-001,NVL-00044,Thùng carton 5 lớp đóng gói giao hàng túi,Thùng carton,2.0,Cái,0.0,Đóng gói tiêu chuẩn 500 túi xẹp/thùng 60x40x40
BOM-TP-00022-001,BTP-00008,Cuộn màng ghép PET/PA/PE 3 lớp Softy 3L khổ 800mm,Cuộn Softy 3L,287.0,m,2.5,Cuộn màng ghép BTP chạy 2 lane (Bước cắt 560.0mm x 1.000 túi + 2.5% hao hụt)
BOM-TP-00022-001,NVL-00040,Vòi nhựa đóng gói phi 16mm kèm nắp chống tràn,Vòi 16mm,1010.0,Cái,1.0,1 vòi 16mm/túi + 1% hao hụt máy hàn nhiệt
BOM-TP-00022-001,NVL-00044,Thùng carton 5 lớp đóng gói giao hàng túi,Thùng carton,2.5,Cái,0.0,Đóng gói tiêu chuẩn 400 túi lớn xẹp/thùng 60x40x40
BOM-TP-00023-001,BTP-00001,Cuộn màng ghép PET/PA/PE 3 lớp 888 Phấn Thơm khổ 800mm,Cuộn 888 Phấn Thơm,287.0,m,2.5,Cuộn màng ghép BTP chạy 2 lane (Bước cắt 560.0mm x 1.000 túi + 2.5% hao hụt)
BOM-TP-00023-001,NVL-00040,Vòi nhựa đóng gói phi 16mm kèm nắp chống tràn,Vòi 16mm,1010.0,Cái,1.0,1 vòi 16mm/túi + 1% hao hụt máy hàn nhiệt
BOM-TP-00023-001,NVL-00044,Thùng carton 5 lớp đóng gói giao hàng túi,Thùng carton,2.5,Cái,0.0,Đóng gói tiêu chuẩn 400 túi lớn xẹp/thùng 60x40x40
BOM-TP-00024-001,BTP-00001,Cuộn màng ghép PET/PA/PE 3 lớp 888 Phấn Thơm khổ 800mm,Cuộn 888 Phấn Thơm,174.2,m,2.5,Cuộn màng ghép BTP chạy 2 lane (Bước cắt 340.0mm x 1.000 túi + 2.5% hao hụt)
BOM-TP-00024-001,NVL-00040,Vòi nhựa đóng gói phi 16mm kèm nắp chống tràn,Vòi 16mm,1010.0,Cái,1.0,1 vòi 16mm/túi + 1% hao hụt máy hàn nhiệt
BOM-TP-00024-001,NVL-00044,Thùng carton 5 lớp đóng gói giao hàng túi,Thùng carton,2.0,Cái,0.0,Đóng gói tiêu chuẩn 500 túi xẹp/thùng 60x40x40
BOM-TP-00025-001,BTP-00001,Cuộn màng ghép PET/PA/PE 3 lớp 888 Phấn Thơm khổ 800mm,Cuộn 888 Phấn Thơm,174.2,m,2.5,Cuộn màng ghép BTP chạy 2 lane (Bước cắt 340.0mm x 1.000 túi + 2.5% hao hụt)
BOM-TP-00025-001,NVL-00040,Vòi nhựa đóng gói phi 16mm kèm nắp chống tràn,Vòi 16mm,1010.0,Cái,1.0,1 vòi 16mm/túi + 1% hao hụt máy hàn nhiệt
BOM-TP-00025-001,NVL-00044,Thùng carton 5 lớp đóng gói giao hàng túi,Thùng carton,2.0,Cái,0.0,Đóng gói tiêu chuẩn 500 túi xẹp/thùng 60x40x40
BOM-TP-00026-001,BTP-00001,Cuộn màng ghép PET/PA/PE 3 lớp 888 Phấn Thơm khổ 800mm,Cuộn 888 Phấn Thơm,246.0,m,2.5,Cuộn màng ghép BTP chạy 2 lane (Bước cắt 480.0mm x 1.000 túi + 2.5% hao hụt)
BOM-TP-00026-001,NVL-00040,Vòi nhựa đóng gói phi 16mm kèm nắp chống tràn,Vòi 16mm,1010.0,Cái,1.0,1 vòi 16mm/túi + 1% hao hụt máy hàn nhiệt
BOM-TP-00026-001,NVL-00044,Thùng carton 5 lớp đóng gói giao hàng túi,Thùng carton,2.0,Cái,0.0,Đóng gói tiêu chuẩn 500 túi xẹp/thùng 60x40x40
BOM-TP-00027-001,BTP-00001,Cuộn màng ghép PET/PA/PE 3 lớp 888 Phấn Thơm khổ 800mm,Cuộn 888 Phấn Thơm,174.2,m,2.5,Cuộn màng ghép BTP chạy 2 lane (Bước cắt 340.0mm x 1.000 túi + 2.5% hao hụt)
BOM-TP-00027-001,NVL-00040,Vòi nhựa đóng gói phi 16mm kèm nắp chống tràn,Vòi 16mm,1010.0,Cái,1.0,1 vòi 16mm/túi + 1% hao hụt máy hàn nhiệt
BOM-TP-00027-001,NVL-00044,Thùng carton 5 lớp đóng gói giao hàng túi,Thùng carton,2.0,Cái,0.0,Đóng gói tiêu chuẩn 500 túi xẹp/thùng 60x40x40
BOM-TP-00028-001,BTP-00001,Cuộn màng ghép PET/PA/PE 3 lớp 888 Phấn Thơm khổ 800mm,Cuộn 888 Phấn Thơm,287.0,m,2.5,Cuộn màng ghép BTP chạy 2 lane (Bước cắt 560.0mm x 1.000 túi + 2.5% hao hụt)
BOM-TP-00028-001,NVL-00040,Vòi nhựa đóng gói phi 16mm kèm nắp chống tràn,Vòi 16mm,1010.0,Cái,1.0,1 vòi 16mm/túi + 1% hao hụt máy hàn nhiệt
BOM-TP-00028-001,NVL-00044,Thùng carton 5 lớp đóng gói giao hàng túi,Thùng carton,2.5,Cái,0.0,Đóng gói tiêu chuẩn 400 túi lớn xẹp/thùng 60x40x40
BOM-TP-00029-001,BTP-00001,Cuộn màng ghép PET/PA/PE 3 lớp 888 Phấn Thơm khổ 800mm,Cuộn 888 Phấn Thơm,287.0,m,2.5,Cuộn màng ghép BTP chạy 2 lane (Bước cắt 560.0mm x 1.000 túi + 2.5% hao hụt)
BOM-TP-00029-001,NVL-00040,Vòi nhựa đóng gói phi 16mm kèm nắp chống tràn,Vòi 16mm,1010.0,Cái,1.0,1 vòi 16mm/túi + 1% hao hụt máy hàn nhiệt
BOM-TP-00029-001,NVL-00044,Thùng carton 5 lớp đóng gói giao hàng túi,Thùng carton,2.5,Cái,0.0,Đóng gói tiêu chuẩn 400 túi lớn xẹp/thùng 60x40x40
BOM-TP-00030-001,BTP-00001,Cuộn màng ghép PET/PA/PE 3 lớp 888 Phấn Thơm khổ 800mm,Cuộn 888 Phấn Thơm,287.0,m,2.5,Cuộn màng ghép BTP chạy 2 lane (Bước cắt 560.0mm x 1.000 túi + 2.5% hao hụt)
BOM-TP-00030-001,NVL-00040,Vòi nhựa đóng gói phi 16mm kèm nắp chống tràn,Vòi 16mm,1010.0,Cái,1.0,1 vòi 16mm/túi + 1% hao hụt máy hàn nhiệt
BOM-TP-00030-001,NVL-00044,Thùng carton 5 lớp đóng gói giao hàng túi,Thùng carton,2.5,Cái,0.0,Đóng gói tiêu chuẩn 400 túi lớn xẹp/thùng 60x40x40
BOM-TP-00031-001,BTP-00003,Cuộn màng ghép PET/PA/PE 3 lớp 888 Đam Mê Đỏ khổ 800mm,Cuộn 888 Đam Mê,287.0,m,2.5,Cuộn màng ghép BTP chạy 2 lane (Bước cắt 560.0mm x 1.000 túi + 2.5% hao hụt)
BOM-TP-00031-001,NVL-00040,Vòi nhựa đóng gói phi 16mm kèm nắp chống tràn,Vòi 16mm,1010.0,Cái,1.0,1 vòi 16mm/túi + 1% hao hụt máy hàn nhiệt
BOM-TP-00031-001,NVL-00044,Thùng carton 5 lớp đóng gói giao hàng túi,Thùng carton,2.5,Cái,0.0,Đóng gói tiêu chuẩn 400 túi lớn xẹp/thùng 60x40x40
BOM-TP-00032-001,BTP-00001,Cuộn màng ghép PET/PA/PE 3 lớp 888 Phấn Thơm khổ 800mm,Cuộn 888 Phấn Thơm,287.0,m,2.5,Cuộn màng ghép BTP chạy 2 lane (Bước cắt 560.0mm x 1.000 túi + 2.5% hao hụt)
BOM-TP-00032-001,NVL-00040,Vòi nhựa đóng gói phi 16mm kèm nắp chống tràn,Vòi 16mm,1010.0,Cái,1.0,1 vòi 16mm/túi + 1% hao hụt máy hàn nhiệt
BOM-TP-00032-001,NVL-00044,Thùng carton 5 lớp đóng gói giao hàng túi,Thùng carton,2.5,Cái,0.0,Đóng gói tiêu chuẩn 400 túi lớn xẹp/thùng 60x40x40
BOM-TP-00033-001,BTP-00001,Cuộn màng ghép PET/PA/PE 3 lớp 888 Phấn Thơm khổ 800mm,Cuộn 888 Phấn Thơm,287.0,m,2.5,Cuộn màng ghép BTP chạy 2 lane (Bước cắt 560.0mm x 1.000 túi + 2.5% hao hụt)
BOM-TP-00033-001,NVL-00040,Vòi nhựa đóng gói phi 16mm kèm nắp chống tràn,Vòi 16mm,1010.0,Cái,1.0,1 vòi 16mm/túi + 1% hao hụt máy hàn nhiệt
BOM-TP-00033-001,NVL-00044,Thùng carton 5 lớp đóng gói giao hàng túi,Thùng carton,2.5,Cái,0.0,Đóng gói tiêu chuẩn 400 túi lớn xẹp/thùng 60x40x40
BOM-TP-00034-001,BTP-00001,Cuộn màng ghép PET/PA/PE 3 lớp 888 Phấn Thơm khổ 800mm,Cuộn 888 Phấn Thơm,287.0,m,2.5,Cuộn màng ghép BTP chạy 2 lane (Bước cắt 560.0mm x 1.000 túi + 2.5% hao hụt)
BOM-TP-00034-001,NVL-00040,Vòi nhựa đóng gói phi 16mm kèm nắp chống tràn,Vòi 16mm,1010.0,Cái,1.0,1 vòi 16mm/túi + 1% hao hụt máy hàn nhiệt
BOM-TP-00034-001,NVL-00044,Thùng carton 5 lớp đóng gói giao hàng túi,Thùng carton,2.5,Cái,0.0,Đóng gói tiêu chuẩn 400 túi lớn xẹp/thùng 60x40x40
BOM-TP-00035-001,BTP-00001,Cuộn màng ghép PET/PA/PE 3 lớp 888 Phấn Thơm khổ 800mm,Cuộn 888 Phấn Thơm,246.0,m,2.5,Cuộn màng ghép BTP chạy 2 lane (Bước cắt 480.0mm x 1.000 túi + 2.5% hao hụt)
BOM-TP-00035-001,NVL-00040,Vòi nhựa đóng gói phi 16mm kèm nắp chống tràn,Vòi 16mm,1010.0,Cái,1.0,1 vòi 16mm/túi + 1% hao hụt máy hàn nhiệt
BOM-TP-00035-001,NVL-00044,Thùng carton 5 lớp đóng gói giao hàng túi,Thùng carton,2.0,Cái,0.0,Đóng gói tiêu chuẩn 500 túi xẹp/thùng 60x40x40
BOM-TP-00036-001,BTP-00009,Cuộn màng ghép PET/PA/PE 3 lớp FUTA Xanh mặt trước khổ 900mm,Cuộn FUTA Xanh MT,287.0,m,2.5,Cuộn màng ghép BTP chạy 2 lane (Bước cắt 560.0mm x 1.000 túi + 2.5% hao hụt)
BOM-TP-00036-001,NVL-00040,Vòi nhựa đóng gói phi 16mm kèm nắp chống tràn,Vòi 16mm,1010.0,Cái,1.0,1 vòi 16mm/túi + 1% hao hụt máy hàn nhiệt
BOM-TP-00036-001,NVL-00044,Thùng carton 5 lớp đóng gói giao hàng túi,Thùng carton,2.5,Cái,0.0,Đóng gói tiêu chuẩn 400 túi lớn xẹp/thùng 60x40x40
BOM-TP-00037-001,BTP-00001,Cuộn màng ghép PET/PA/PE 3 lớp 888 Phấn Thơm khổ 800mm,Cuộn 888 Phấn Thơm,287.0,m,2.5,Cuộn màng ghép BTP chạy 2 lane (Bước cắt 560.0mm x 1.000 túi + 2.5% hao hụt)
BOM-TP-00037-001,NVL-00040,Vòi nhựa đóng gói phi 16mm kèm nắp chống tràn,Vòi 16mm,1010.0,Cái,1.0,1 vòi 16mm/túi + 1% hao hụt máy hàn nhiệt
BOM-TP-00037-001,NVL-00044,Thùng carton 5 lớp đóng gói giao hàng túi,Thùng carton,2.5,Cái,0.0,Đóng gói tiêu chuẩn 400 túi lớn xẹp/thùng 60x40x40
BOM-TP-00045-001,BTP-00017,Cuộn màng ghép PET/PA/PE sữa Sofia 2L Ngọc Lan khổ 800mm,Cuộn Sofia 2L,246.0,m,2.5,Cuộn màng ghép BTP chạy 2 lane (Bước cắt 480.0mm x 1.000 túi + 2.5% hao hụt)
BOM-TP-00045-001,NVL-00040,Vòi nhựa đóng gói phi 16mm kèm nắp chống tràn,Vòi 16mm,1010.0,Cái,1.0,1 vòi 16mm/túi + 1% hao hụt máy hàn nhiệt
BOM-TP-00045-001,NVL-00044,Thùng carton 5 lớp đóng gói giao hàng túi,Thùng carton,2.0,Cái,0.0,Đóng gói tiêu chuẩn 500 túi xẹp/thùng 60x40x40
BOM-BTP-00017-001,NVL-00048,Cuộn màng PET in ống đồng mẫu Sofia 2L Ngọc Lan khổ 800mm,PET in Sofia 2L,1020.0,m,2.0,Màng PET in ống đồng từ NCC (1000m + 2% hao hụt canh máy)
BOM-BTP-00017-001,NVL-00004,Cuộn màng PE sữa khổ 750mm dày 190mic,PE sữa K750 190mic,144.2,Kg,2.0,Màng PE sữa hàn dán dày 190mic mua từ máy thổi (144.2 Kg)
BOM-BTP-00017-001,NVL-00009,Cuộn màng PA khổ 800mm dày 15mic,PA K800 15mic,14.1,Kg,2.0,Màng PA rào cản chống bục thủng 15mic (14.1 Kg)
BOM-BTP-00017-001,NVL-00025,Keo ghép màng Polyurethane D-9700,Keo D-9700,1.2,Kg,0.0,Keo polyurethane ghép màng khô (1.2 Kg)
BOM-BTP-00017-001,NVL-00026,Chất đóng rắn keo ghép CL-3192K,Chất Đóng Rắn CL-3192K,1.2,Kg,0.0,Chất đóng rắn Isocyanate (1.2 Kg)
BOM-BTP-00017-001,NVL-00027,Dung môi công nghiệp Ethyl Acetate (EA),Dung Môi EA,4.8,Kg,0.0,Dung môi pha keo bay hơi buồng sấy (4.8 Kg)
